year,code,clgname,branch,community,branchname,cutoff
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,OC,Bio- Medical Engineering (SS),186.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CM,OC,Computer Science and Engineering (SS),194.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",ES,OC,Electrical and Electronics (Sandwich) (SS),184
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",TT,OC,Textile Technology (SS),175
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MF,OC,Mechanical Engg. (SS),189.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MS,OC,Mechanical Engineering (Sandwich) (SS),184.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PR,OC,Production Engineering,180
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,OC,Bio Technology (SS),189
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CN,OC,Civil Engineering (SS),185.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,OC,Automobile Engineering (SS),180.75
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PN,OC,Production Engineering (SS),178
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PS,OC,Production Engineering (Sandwich) (SS),172.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",RA,OC,Robotics and Automation (SS),189
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MT,OC,Metallurgical Engineering,181.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",TX,OC,Textile Technology,182
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EE,OC,Electrical and Electronics Engineering,191.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EC,OC,Electronics and Communication Engineering,195.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",IM,OC,Information Tech. (SS),191
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EM,OC,Electronics and Communication Engg. (SS),192.25
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",FY,OC,Fashion Technology (SS),177.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",ME,OC,Mechanical Engineering,192
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,OC,Civil Engineering,188.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MY,OC,Metallurgical Engg. (SS),178
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",IY,OC,Instrumentation and Control Engineering (SS),184
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",IM,OC,Information Tech. (SS),187.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CN,OC,Civil Engineering (SS),174.5
